Reported Date,Recovered,Active,Deceased
2021-01-29,0,33,0
2021-01-28,2,532,3
2021-01-27,26,514,1
2021-01-26,42,582,0
2021-01-25,45,413,2
2021-01-24,72,570,0
2021-01-23,87,573,3
2021-01-22,112,646,4
2021-01-21,116,516,6
2021-01-20,180,557,3
2021-01-19,348,634,7
2021-01-18,328,509,7
2021-01-17,291,208,6
2021-01-16,546,249,7
2021-01-15,861,83,4
2021-01-14,877,9,2
2021-01-13,800,8,7
2021-01-12,986,14,6
2021-01-11,798,12,6
2021-01-10,664,5,6
2021-01-09,903,7,12
2021-01-08,1121,9,12
2021-01-07,1571,15,22
2021-01-06,986,5,9
2021-01-05,867,7,16
2021-01-04,740,11,9
2021-01-03,667,3,8
2021-01-02,880,6,15
2021-01-01,812,4,13
2020-12-31,781,0,13
2020-12-30,497,1,8
2020-12-29,1000,3,8
2020-12-28,780,1,8
2020-12-27,576,0,7
2020-12-26,674,1,9
2020-12-25,608,3,5
2020-12-24,463,5,2
2020-12-23,571,3,10
2020-12-22,815,10,17
2020-12-21,597,1,11
2020-12-20,685,1,7
2020-12-19,543,2,10
2020-12-18,618,1,11
2020-12-17,630,3,9
2020-12-16,698,0,13
2020-12-15,595,3,11
2020-12-14,750,2,7
2020-12-13,666,3,10
2020-12-12,575,1,9
2020-12-11,524,1,7
2020-12-10,519,1,7
2020-12-09,475,1,4
2020-12-08,542,0,16
2020-12-07,544,1,6
2020-12-06,584,2,12
2020-12-05,578,0,8
2020-12-04,590,0,6
2020-12-03,532,1,8
2020-12-02,535,0,7
2020-12-01,400,0,8
2020-11-30,495,0,8
2020-11-29,632,2,6
2020-11-28,519,3,4
2020-11-27,505,1,11
2020-11-26,555,1,14
2020-11-25,478,3,7
2020-11-24,368,0,6
2020-11-23,401,1,2
2020-11-22,495,4,10
2020-11-21,460,1,7
2020-11-20,496,2,6
2020-11-19,444,0,10
2020-11-18,403,0,5
2020-11-17,458,1,33
2020-11-16,390,0,5
2020-11-15,505,0,4
2020-11-14,421,0,7
2020-11-13,408,0,5
2020-11-12,512,0,7
2020-11-11,378,0,2
2020-11-10,531,0,19
2020-11-09,520,1,26
2020-11-08,476,0,5
2020-11-07,340,0,3
2020-11-06,380,0,17
2020-11-05,414,0,5
2020-11-04,272,0,7
2020-11-03,439,0,97
2020-11-02,284,0,8
2020-11-01,514,,20
2020-10-31,303,2,3
2020-10-30,331,0,3
2020-10-29,332,0,10
2020-10-28,256,0,7
2020-10-27,407,1,7
2020-10-26,301,0,2
2020-10-25,354,2,10
2020-10-24,267,0,2
2020-10-23,325,1,4
2020-10-22,366,0,13
